Region,Cause,RiskBefore,RiskAfter,ReductionPercentage
강원도,"누전,지락",0.0,0.0,0.0
강원도,절연열화에 의한 단락,0.45930928,0.18379289,59.98493957519531
경기도,과부하/과전류,0.90472245,0.57218856,36.75535202026367
경기도,기타(전기적요인),0.83010364,0.57218856,31.070226669311523
경기도,접촉불량에 의한 단락,0.83613276,0.57218856,31.5672607421875
대구광역시,"누전,지락",0.0,0.0,0.0
대구광역시,절연열화에 의한 단락,0.57218856,0.33388636,41.64749526977539
대구광역시,트래킹에 의한 단락,0.0,0.0,0.0
울산광역시,과부하/과전류,0.0,0.0,0.0
울산광역시,미확인단락,0.18383086,0.0,100.0
울산광역시,접촉불량에 의한 단락,0.0,0.0,0.0
인천광역시,"누전,지락",0.0,0.0,0.0
인천광역시,접촉불량에 의한 단락,0.0,0.0,0.0
경기도,반단선,0.18378755,6.1379787e-06,99.99665832519531
경기도,층간단락,0.333907,0.18378755,44.95846176147461
경기도,트래킹에 의한 단락,0.96492845,0.7128251,26.12663459777832
경상북도,과부하/과전류,0.46081492,0.18378755,60.11684036254883
경상북도,기타(전기적요인),0.0,0.0,0.0
경상북도,"압착,손상에 의한 단락",0.0,0.0,0.0
경상북도,트래킹에 의한 단락,0.0,0.0,0.0
대구광역시,기타(전기적요인),0.0,0.0,0.0
대구광역시,미확인단락,0.7137722,0.46081492,35.43949508666992
대구광역시,층간단락,0.0,0.0,0.0
서울특별시,"누전,지락",0.0,0.0,0.0
서울특별시,"압착,손상에 의한 단락",6.1379787e-06,6.1379787e-06,0.0
서울특별시,접촉불량에 의한 단락,0.90201026,0.5689679,36.9222412109375
충청남도,"누전,지락",0.0,0.0,0.0
충청남도,반단선,0.0,0.0,0.0
충청남도,"압착,손상에 의한 단락",0.0,0.0,0.0
강원도,기타(전기적요인),0.0,0.0,0.0
강원도,반단선,0.0,0.0,0.0
경기도,미확인단락,1.2378495,0.97057605,21.591754913330078
경기도,"압착,손상에 의한 단락",0.66812927,0.4600478,31.143892288208008
경기도,절연열화에 의한 단락,1.2378495,1.1414639,7.78653621673584
경상남도,"누전,지락",0.0,0.0,0.0
경상남도,절연열화에 의한 단락,1.2378495,0.8329563,32.70940017700195
경상남도,층간단락,0.0,0.0,0.0
경상남도,트래킹에 의한 단락,0.5895214,0.3338581,43.367942810058594
광주광역시,과부하/과전류,0.0,0.0,0.0
광주광역시,미확인단락,0.3338581,0.18378171,44.9521484375
전라남도,접촉불량에 의한 단락,0.3338581,0.18378171,44.9521484375
전라남도,트래킹에 의한 단락,0.0,0.0,0.0
전라북도,과부하/과전류,0.18379836,0.0,100.0
전라북도,트래킹에 의한 단락,0.0,0.0,0.0
대구광역시,"압착,손상에 의한 단락",0.0,0.0,0.0
대구광역시,접촉불량에 의한 단락,0.33422354,0.18373497,45.02632141113281
대전광역시,기타(전기적요인),0.0,0.0,0.0
대전광역시,절연열화에 의한 단락,0.68112284,0.4607269,32.35774230957031
부산광역시,"압착,손상에 의한 단락",0.0,0.0,0.0
부산광역시,접촉불량에 의한 단락,0.3339563,0.18373497,44.982330322265625
서울특별시,과부하/과전류,0.90454763,0.56956005,37.033714294433594
서울특별시,미확인단락,1.2655364,0.8328761,34.18790054321289
서울특별시,절연열화에 의한 단락,0.88637894,0.68112284,23.156700134277344
서울특별시,트래킹에 의한 단락,0.9047728,0.56956005,37.04938507080078
인천광역시,과부하/과전류,0.3339563,0.18373497,44.982330322265625
인천광역시,기타(전기적요인),0.0,0.0,0.0
인천광역시,"압착,손상에 의한 단락",0.0,0.0,0.0
전라북도,"누전,지락",0.0,0.0,0.0
전라북도,미확인단락,0.46080402,0.18373497,60.12730407714844
제주특별자치도,미확인단락,0.0,0.0,0.0
제주특별자치도,트래킹에 의한 단락,0.0,0.0,0.0
충청북도,미확인단락,0.33453268,0.18373497,45.077125549316406
충청북도,접촉불량에 의한 단락,0.0,0.0,0.0
강원도,과부하/과전류,0.3339125,0.18375619,44.9687614440918
강원도,미확인단락,2.7256134e-05,0.0,100.0
경상남도,기타(전기적요인),0.0,0.0,0.0
경상남도,미확인단락,0.3339125,0.18375619,44.9687614440918
경상남도,"압착,손상에 의한 단락",0.18370305,0.0,100.0
전라남도,과부하/과전류,0.0,0.0,0.0
전라남도,"압착,손상에 의한 단락",0.0,0.0,0.0
전라남도,절연열화에 의한 단락,0.3339125,0.18375619,44.9687614440918
충청남도,과부하/과전류,0.18377154,0.0,100.0
충청남도,기타(전기적요인),0.0,0.0,0.0
충청남도,미확인단락,0.77782226,0.52743226,32.191158294677734
충청남도,접촉불량에 의한 단락,0.0,0.0,0.0
